GEOID,COUNTY,POP_TOT,MALE_POP,FEMALE_POP,GDP,DEGREE_TOT,BACHELOR,MASTER,PROFFE,DOCTOR,TOT_NO_INS,MALE_INS,FEMALE_INS,BOTH_INS,TOT_POV,MALE_POV,FEMALE_POV,TOT_COMM,OTHER_COMM
22111,"Union Parish, Louisiana",22460,11100,11360,20742,15527,1326,435,68,53,22009,1356,1726,3082,5438,2343,3095,8189,57
22021,"Caldwell Parish, Louisiana",9997,5287,4710,20961,6746,545,156,92,0,9522,1140,878,2018,2391,1140,1251,3711,91
22035,"East Carroll Parish, Louisiana",7419,4256,3163,14694,4597,403,77,9,29,5497,483,605,1088,2671,1025,1646,1836,2
22055,"Lafayette Parish, Louisiana",234963,114864,120099,30656,153993,33204,9855,2761,1742,232644,15514,15604,31118,37976,16279,21697,116412,1098
22039,"Evangeline Parish, Louisiana",33765,17283,16482,18655,21639,1837,549,174,19,31675,2409,2108,4517,8807,3935,4872,10989,100
22061,"Lincoln Parish, Louisiana",47480,23134,24346,21934,25500,5191,2647,399,781,46855,3759,3371,7130,13916,6304,7612,20612,136
22087,"St. Bernard Parish, Louisiana",44091,21801,22290,20431,28135,2884,583,160,94,43760,3034,2492,5526,8784,3775,5009,17518,246
22119,"Webster Parish, Louisiana",40335,19558,20777,19256,27591,2889,739,119,93,39416,3434,3146,6580,9693,4261,5432,14841,69
22121,"West Baton Rouge Parish, Louisiana",25017,12436,12581,28140,16661,2238,759,194,87,24331,1520,1054,2574,4933,2119,2814,11479,104
22047,"Iberville Parish, Louisiana",33159,16812,16347,22252,22836,2101,697,111,148,29615,2054,1549,3603,5465,2196,3269,12841,132
22081,"Red River Parish, Louisiana",8757,4230,4527,25154,5767,504,230,15,32,8635,714,668,1382,1953,831,1122,3258,134
22067,"Morehouse Parish, Louisiana",26739,12774,13965,18776,17919,1840,336,190,81,25966,2188,1952,4140,7441,3181,4260,9577,105
22071,"Orleans Parish, Louisiana",382922,182959,199963,29275,265166,54907,24396,11236,5391,377073,28794,24664,53458,97252,42376,54876,171776,1990
22109,"Terrebonne Parish, Louisiana",113099,55881,57218,24017,73521,7831,1911,626,152,111803,9785,8826,18611,22457,9871,12586,47783,1025
22019,"Calcasieu Parish, Louisiana",197233,96206,101027,26569,129071,17712,6378,1619,843,194872,14314,14038,28352,33266,13630,19636,86127,902
22027,"Claiborne Parish, Louisiana",16452,9408,7044,16384,11727,1034,379,72,36,14487,1310,950,2260,4367,2163,2204,5025,18
22009,"Avoyelles Parish, Louisiana",41252,20732,20520,20199,27923,1996,677,121,36,37646,3023,3178,6201,8671,3430,5241,14685,202
22007,"Assumption Parish, Louisiana",22973,11284,11689,25765,15542,1231,484,41,18,22772,1672,1467,3139,4186,1875,2311,9027,271
22077,"Pointe Coupee Parish, Louisiana",22366,10791,11575,27160,15406,1484,475,160,28,22241,1866,1580,3446,4182,1818,2364,8843,258
22113,"Vermilion Parish, Louisiana",59524,28756,30768,23608,38826,3561,958,122,141,59075,4113,3677,7790,10150,4176,5974,24528,390
22057,"Lafourche Parish, Louisiana",97688,47946,49742,26331,65045,7288,2223,498,501,96839,6552,6996,13548,14646,6215,8431,41984,1817
22029,"Concordia Parish, Louisiana",20288,10295,9993,17551,13544,1095,352,59,21,18203,2064,2746,4810,5794,2517,3277,6892,73
22059,"LaSalle Parish, Louisiana",14927,7767,7160,18836,10142,801,258,33,28,13599,1011,930,1941,3134,1340,1794,4970,127
30073,"Pondera County, Montana",6166,3100,3066,22866,4194,718,149,51,33,6095,517,383,900,1228,611,617,2559,7
30111,"Yellowstone County, Montana",155344,76301,79043,32296,105681,21546,6484,1896,964,153001,9571,8710,18281,15767,6585,9182,78556,480
30063,"Missoula County, Montana",113101,56928,56173,29681,74509,19180,7758,2451,1768,112445,7608,6206,13814,17671,8378,9293,58673,349
30081,"Ravalli County, Montana",41130,20385,20745,25151,30071,5055,2036,301,352,40885,3456,2987,6443,7173,3244,3929,16891,186
30105,"Valley County, Montana",7576,3805,3771,29096,5330,868,213,39,26,7462,505,338,843,711,367,344,3728,5
30013,"Cascade County, Montana",82049,41248,40801,28350,55400,9752,3535,878,206,78264,4632,4416,9048,11694,5094,6600,38785,198
30027,"Fergus County, Montana",11429,5750,5679,27491,8398,1890,390,72,50,11236,802,697,1499,1574,740,834,5279,63
30033,"Garfield County, Montana",1061,510,551,29896,758,80,25,6,0,1061,78,83,161,71,35,36,549,5
30061,"Mineral County, Montana",4223,2155,2068,22894,3119,278,65,22,30,4169,402,182,584,869,392,477,1550,9
30069,"Petroleum County, Montana",445,239,206,31549,357,43,27,4,2,445,41,61,102,69,38,31,246,2
30077,"Powell County, Montana",6928,4314,2614,23990,5335,588,315,15,44,5324,388,361,749,555,247,308,2583,22
30089,"Sanders County, Montana",11375,5837,5538,23020,8598,1072,240,36,60,11238,890,1180,2070,2493,1092,1401,3940,31
30109,"Wibaux County, Montana",1143,552,591,24662,834,151,13,2,2,1119,68,67,135,143,61,82,524,3
